Customer_ID,Age,Account_Balance,Monthly_Spending,Investment_Portfolio_Value,Risk_Score,Sector_Exposure,High_Value_Transactions,Loan_Amount,Credit_Score,Investment_Return_Rate,Predicted_Risk,Suggested_Product,Preferred_Sector,Investment_Horizon,Global_Event_Impact,Engagement_Score,Profitability_Score
CUST3441,36,7621.51,1335.25,69483.9,Low,Consumer Goods,9,18218.93,377,4.89,Low,Investment Account,Utilities,Long-Term,Low,67,Medium
CUST1903,61,3035.03,9551.84,90573.27,High,"Materials, Real Estate, Utilities",7,4043.48,304,4.09,Low,Pension Fund,Industrials,Medium-Term,High,88,High
CUST2446,33,32599.52,1772.53,49901.08,Medium,"Healthcare, Finance, Materials",10,7041.02,728,8.87,High,Savings Account,Technology,Short-Term,Low,58,Low
CUST2725,29,16761.59,658.62,74940.7,High,"Utilities, Consumer Goods, Real Estate",5,23432.55,774,4.9,Low,Investment Account,Finance,Short-Term,High,63,Medium
CUST8926,56,25753.98,6664.9,50389.78,Low,"Technology, Consumer Goods",3,21271.43,442,1.57,Medium,Retirement Plan,Materials,Short-Term,Low,55,High
CUST8067,68,43708.35,5330.21,74134.43,High,"Consumer Goods, Materials, Healthcare",2,24902.82,672,4.79,High,Investment Account,Technology,Medium-Term,High,75,Medium
CUST9477,41,21769.07,9444.73,55379.12,High,"Healthcare, Finance, Energy",4,22331.85,653,2.82,High,Credit Card,Real Estate,Medium-Term,High,73,Low
CUST5384,28,40018.31,6279.71,74072.79,Low,"Consumer Goods, Industrials, Finance",10,13733.24,848,8.43,Low,Wealth Management,Energy,Long-Term,High,81,High
CUST9557,66,43665.74,4246.61,5715.67,Medium,"Finance, Materials",8,23316.08,670,3.76,Medium,Retirement Plan,Real Estate,Short-Term,Low,86,Low
CUST9822,41,34950.04,7186.83,36259.83,High,Consumer Goods,7,17509.88,384,0.64,High,Retirement Plan,Utilities,Short-Term,Low,65,Low
CUST9041,43,29443.56,3312.53,64801.08,Low,"Materials, Finance",7,12711.38,518,6.46,Low,Pension Fund,Finance,Short-Term,Low,78,High
CUST8424,47,25101.28,1699.3,47947.12,Medium,"Utilities, Technology",7,9120.75,600,9.77,High,Pension Fund,Real Estate,Medium-Term,Low,73,Medium
CUST7637,68,46154.17,3029.19,66550.18,High,Materials,10,21026.12,572,1.15,Low,Credit Card,Technology,Short-Term,High,87,Medium
CUST1411,63,28078.92,5710.7,45270.15,High,"Healthcare, Finance, Utilities",1,20640.11,563,1.92,Low,Wealth Management,Materials,Long-Term,Low,52,Medium
CUST5764,61,23593.96,7269.13,35569.3,High,"Healthcare, Industrials",3,6340.52,506,0.61,High,Savings Account,Finance,Medium-Term,Low,77,Medium
CUST9976,59,28832.14,1990.02,3909.4,High,"Industrials, Energy",0,18170.08,645,8.32,High,Investment Account,Utilities,Medium-Term,High,55,Medium
CUST3181,19,25052.31,4481.34,49502.85,Medium,"Healthcare, Industrials",7,4976.0,346,6.88,High,Personal Loan,Utilities,Short-Term,High,80,Low
CUST1400,59,9759.57,6794.24,95468.75,Medium,"Finance, Consumer Goods",0,29704.31,694,3.69,Medium,Retirement Plan,Technology,Long-Term,Low,84,High
CUST4887,25,4827.63,2146.5,25267.99,Low,"Real Estate, Materials",5,14146.84,754,9.88,Medium,Mortgage,Technology,Long-Term,Moderate,81,Medium
CUST6362,46,24454.68,2908.57,6455.16,Medium,"Technology, Energy, Consumer Goods",8,3475.29,794,9.68,High,Investment Account,Finance,Medium-Term,Low,56,High
CUST1124,67,33089.45,7582.13,7372.44,Low,"Real Estate, Energy, Finance",1,23207.81,541,1.61,Low,Savings Account,Real Estate,Long-Term,Low,66,High
CUST9697,32,17920.34,8542.75,60542.62,Low,"Real Estate, Industrials",7,28323.92,673,5.86,Medium,Credit Card,Finance,Medium-Term,High,60,Medium
CUST5761,45,18021.6,6644.41,4308.25,Low,Energy,3,645.32,761,9.07,High,Wealth Management,Utilities,Long-Term,Moderate,59,High
CUST7354,26,34174.12,2630.8,67916.96,High,"Technology, Industrials, Real Estate",4,4836.02,574,6.88,Medium,Personal Loan,Energy,Long-Term,High,88,Medium
CUST3595,48,48008.74,9041.0,19565.82,Medium,"Energy, Real Estate",3,2617.19,559,3.85,High,Credit Card,Energy,Medium-Term,Low,75,Low
CUST5981,53,19321.82,2853.99,19889.17,High,"Technology, Utilities",4,1241.66,444,2.93,High,Pension Fund,Energy,Medium-Term,Moderate,97,Low
CUST7206,24,32072.59,9243.59,35521.31,Low,Industrials,3,21227.29,375,2.59,High,Savings Account,Healthcare,Short-Term,Moderate,73,Low
CUST2966,46,33284.69,4314.31,15702.58,Low,"Utilities, Technology",6,21283.24,315,6.97,Low,Investment Account,Finance,Long-Term,Low,57,High
CUST9019,41,26027.69,3691.35,1546.37,High,Consumer Goods,2,10616.65,783,2.54,Medium,Wealth Management,Healthcare,Medium-Term,Moderate,84,High
CUST2035,40,13350.93,5450.32,29533.39,Low,"Technology, Energy, Consumer Goods",8,6678.1,538,7.81,Medium,Personal Loan,Energy,Long-Term,High,82,Medium
CUST4130,52,9620.04,5225.1,7454.85,High,Utilities,2,20172.22,512,8.05,Low,Credit Card,Consumer Goods,Short-Term,Moderate,71,High
CUST5844,56,23057.31,1687.5,58016.89,Medium,"Materials, Real Estate",10,17733.17,835,0.71,Low,Personal Loan,Utilities,Medium-Term,High,95,High
CUST4813,23,5889.43,586.05,51720.45,Medium,"Energy, Real Estate",6,6480.04,579,4.63,Medium,Investment Account,Consumer Goods,Long-Term,High,98,Medium
CUST9705,48,22416.09,4330.92,5183.7,Medium,"Industrials, Real Estate",2,24054.25,388,4.13,Medium,Personal Loan,Healthcare,Short-Term,Moderate,66,Medium
CUST5630,26,6644.5,4270.77,30702.87,Low,Finance,2,13473.46,657,7.62,Medium,Mortgage,Technology,Short-Term,Low,66,Low
CUST3086,27,41107.22,881.63,26695.8,Medium,Materials,1,17817.06,842,3.3,Medium,Credit Card,Utilities,Short-Term,Low,81,Medium
CUST4238,42,14005.73,2876.09,54811.92,Low,"Utilities, Healthcare, Technology",0,2228.44,765,3.27,High,Credit Card,Consumer Goods,Medium-Term,High,95,Medium
CUST7417,23,41444.04,5418.06,14320.27,Medium,"Consumer Goods, Utilities",6,24833.25,448,5.77,High,Savings Account,Consumer Goods,Medium-Term,Moderate,68,Medium
CUST5870,58,5150.64,912.15,16038.71,High,"Finance, Energy",9,2586.61,496,3.39,High,Personal Loan,Utilities,Short-Term,Moderate,68,Low
CUST1688,37,26391.71,1044.11,14176.04,Low,Real Estate,1,3476.29,355,0.47,Medium,Wealth Management,Real Estate,Short-Term,Low,89,High
CUST6125,34,19518.32,2883.27,34338.83,Low,Consumer Goods,8,28345.41,412,2.91,Medium,Credit Card,Consumer Goods,Short-Term,Low,81,Low
CUST7373,40,12124.98,5797.48,31060.58,Medium,"Technology, Materials",9,8981.7,595,5.72,Low,Investment Account,Finance,Short-Term,Low,81,Low
CUST1826,24,4673.8,3484.45,9640.32,Low,Healthcare,3,3209.07,508,1.33,Low,Credit Card,Consumer Goods,Long-Term,Moderate,53,Medium
CUST9100,29,34675.75,8365.51,90970.22,Low,"Energy, Materials, Consumer Goods",4,28430.19,487,1.9,High,Personal Loan,Healthcare,Long-Term,High,54,Medium
CUST5920,38,29696.82,7254.03,73656.32,Low,"Consumer Goods, Industrials",0,27397.56,701,6.81,Medium,Savings Account,Energy,Medium-Term,High,56,High
CUST7279,56,14436.29,1226.96,91931.05,High,"Technology, Industrials, Finance",8,1566.66,515,5.95,Medium,Mortgage,Consumer Goods,Long-Term,Moderate,100,Low
CUST2723,63,35603.11,5452.03,57352.29,Low,"Healthcare, Materials",3,11682.82,583,0.56,Medium,Personal Loan,Real Estate,Medium-Term,High,71,Low
CUST3758,25,10232.23,4648.38,5118.17,Low,"Technology, Industrials, Healthcare",7,21199.96,438,9.57,High,Pension Fund,Finance,Medium-Term,Low,60,Low
CUST2144,29,20473.84,7915.27,73228.7,High,"Utilities, Energy, Materials",3,29843.57,524,7.69,Low,Investment Account,Technology,Long-Term,High,70,Low
CUST3522,39,3701.54,6007.82,24888.82,Low,Healthcare,4,11683.91,467,6.98,Low,Pension Fund,Finance,Short-Term,Moderate,95,Medium
CUST6305,49,4091.65,1036.06,28170.59,High,"Healthcare, Technology, Materials",1,20343.3,597,6.97,High,Mortgage,Healthcare,Long-Term,Moderate,77,Low
CUST2101,55,14083.24,654.88,37285.25,High,"Utilities, Healthcare",10,718.48,607,6.32,Low,Retirement Plan,Energy,Long-Term,Low,56,Medium
CUST8957,56,5113.71,6737.24,47787.59,Low,Materials,5,11614.52,460,3.76,High,Pension Fund,Consumer Goods,Short-Term,Moderate,77,Medium
CUST1032,66,47604.41,8118.1,92009.29,Medium,Energy,6,7970.51,842,1.77,Medium,Wealth Management,Industrials,Short-Term,Moderate,66,Medium
CUST6910,49,43627.54,7696.63,68270.22,Medium,"Materials, Utilities, Industrials",0,13738.68,427,6.28,Medium,Investment Account,Technology,Long-Term,Low,56,Low
CUST7267,29,43636.49,9415.41,93350.65,Medium,"Finance, Consumer Goods, Materials",7,23459.52,434,8.94,Medium,Retirement Plan,Materials,Short-Term,High,78,Low
CUST1599,51,45036.93,7458.08,87698.82,High,"Energy, Consumer Goods",9,11953.77,514,3.11,High,Wealth Management,Energy,Medium-Term,High,51,High
CUST8839,46,38140.46,7606.76,65613.7,Low,"Consumer Goods, Industrials, Real Estate",3,28648.08,721,0.77,Low,Investment Account,Technology,Long-Term,Low,71,Low
CUST7508,51,31061.94,1062.57,36281.11,Medium,"Consumer Goods, Materials",5,21617.78,321,3.03,Low,Investment Account,Materials,Medium-Term,Low,85,Medium
CUST3491,32,26089.48,5697.51,28747.49,High,"Utilities, Technology, Consumer Goods",9,10885.62,777,0.27,Low,Credit Card,Technology,Long-Term,Low,84,Low
CUST4494,26,10012.68,1309.41,64755.12,High,"Consumer Goods, Healthcare",1,14607.94,373,6.79,Low,Wealth Management,Real Estate,Short-Term,Low,68,Medium
CUST9128,42,14638.51,1385.19,13920.9,Low,"Industrials, Technology",7,3166.55,461,6.64,Low,Wealth Management,Materials,Long-Term,Low,80,Low
CUST7528,29,23759.85,3087.3,62185.21,Low,"Healthcare, Utilities, Consumer Goods",6,28650.31,305,5.69,Medium,Mortgage,Industrials,Medium-Term,Low,66,Medium
CUST5425,68,29010.39,5392.32,70971.22,High,"Industrials, Healthcare, Materials",0,2241.5,445,6.37,Medium,Retirement Plan,Industrials,Medium-Term,Low,61,Low
CUST9939,54,49604.01,7569.38,86555.21,Low,Materials,10,929.28,716,6.22,High,Credit Card,Healthcare,Long-Term,Moderate,75,Low
CUST5917,47,20077.7,5876.74,84081.89,Low,"Real Estate, Technology",1,16121.84,437,5.19,Medium,Pension Fund,Materials,Medium-Term,Low,70,Low
CUST7569,55,5733.57,7989.75,12536.61,Medium,"Materials, Technology, Utilities",5,29539.74,815,3.43,Medium,Retirement Plan,Finance,Medium-Term,High,94,Low
CUST9038,22,49302.03,7420.5,99338.4,High,"Industrials, Real Estate",0,22082.34,454,0.61,High,Investment Account,Consumer Goods,Long-Term,Moderate,98,High
CUST6269,70,20876.65,4043.03,22579.79,Medium,Materials,1,16063.7,485,3.68,Medium,Mortgage,Utilities,Long-Term,Low,70,Medium
CUST4238,24,16715.11,8537.08,68058.16,Medium,"Consumer Goods, Materials",1,3864.05,685,2.25,Low,Credit Card,Real Estate,Short-Term,Moderate,75,High
CUST5678,61,19116.49,3100.0,67711.33,High,"Consumer Goods, Materials, Energy",7,13591.64,736,5.67,Medium,Savings Account,Healthcare,Short-Term,High,55,Medium
CUST5874,70,11283.56,2304.72,57975.69,Medium,"Technology, Consumer Goods",4,25773.98,645,5.99,High,Investment Account,Materials,Medium-Term,Moderate,62,Medium
CUST7416,48,3254.4,2259.52,70575.0,High,"Real Estate, Energy",8,25385.26,342,5.68,Low,Savings Account,Finance,Medium-Term,Low,77,Medium
CUST7307,35,1748.77,5359.89,93093.82,High,"Utilities, Finance, Technology",4,11386.18,568,8.9,Low,Wealth Management,Healthcare,Short-Term,High,70,Low
CUST7819,27,17636.6,6346.44,38120.5,Medium,Consumer Goods,0,15550.71,372,3.28,High,Credit Card,Energy,Medium-Term,High,58,Low
CUST8876,18,12428.44,4445.37,71983.53,Medium,Finance,6,21910.07,605,0.58,High,Savings Account,Materials,Medium-Term,Low,89,Medium
CUST5508,40,35375.83,2067.74,40169.84,Medium,"Consumer Goods, Materials, Utilities",3,24904.33,443,2.9,High,Investment Account,Utilities,Medium-Term,Moderate,53,Low
CUST2799,26,23699.32,9730.61,52573.41,Medium,"Utilities, Finance, Consumer Goods",7,25867.83,512,4.82,Low,Retirement Plan,Energy,Short-Term,High,92,High
CUST4248,33,30223.67,4822.26,14809.09,Medium,"Materials, Industrials, Utilities",5,21468.15,726,6.55,High,Credit Card,Utilities,Medium-Term,Low,71,Medium
CUST3950,19,5816.66,4681.28,77269.58,High,Real Estate,0,8680.76,462,8.16,Low,Retirement Plan,Technology,Long-Term,Low,86,Low
CUST7134,62,43152.38,3550.6,30109.4,Low,"Real Estate, Industrials",0,20007.05,490,9.49,Low,Personal Loan,Consumer Goods,Short-Term,High,51,Low
CUST9132,34,48159.05,8166.49,66815.59,Low,Utilities,1,6759.99,604,6.31,Medium,Wealth Management,Finance,Long-Term,Low,63,Medium
CUST6321,40,23425.65,9899.91,93479.3,Low,Consumer Goods,3,781.66,569,0.94,High,Pension Fund,Consumer Goods,Medium-Term,Low,68,High
CUST7809,69,39923.06,1956.04,32609.12,High,Consumer Goods,8,18580.53,368,7.73,Low,Mortgage,Technology,Short-Term,High,100,Medium
CUST2246,21,38538.61,1596.54,34384.78,Medium,"Technology, Utilities",10,12068.17,758,1.97,High,Investment Account,Technology,Short-Term,High,64,Medium
CUST8273,53,20681.9,5809.73,9204.24,Medium,Finance,7,18236.4,610,2.12,Low,Savings Account,Healthcare,Short-Term,Low,66,Medium
CUST4328,42,39959.78,3103.53,3143.79,High,"Energy, Technology, Real Estate",10,4140.64,507,5.54,Low,Investment Account,Energy,Short-Term,Moderate,77,Medium
CUST4932,58,8055.82,7975.75,88012.23,Low,"Materials, Utilities, Real Estate",4,14905.72,300,2.78,Medium,Savings Account,Industrials,Short-Term,Low,51,Low
CUST2436,21,23404.58,6499.72,70452.87,High,Consumer Goods,8,11344.41,596,9.19,Low,Credit Card,Healthcare,Long-Term,Low,60,Medium
CUST2170,31,1114.71,529.76,64998.08,High,Technology,1,27865.5,620,7.29,Medium,Pension Fund,Energy,Short-Term,Low,67,High
CUST3538,64,17551.46,819.53,64176.22,Medium,"Materials, Utilities, Energy",1,28449.11,554,2.47,Low,Pension Fund,Real Estate,Short-Term,High,50,Low
CUST3204,68,42112.62,4829.74,1085.23,Low,"Real Estate, Energy",5,21816.73,629,0.18,High,Savings Account,Technology,Medium-Term,Low,57,High
CUST8100,57,26321.56,1659.59,18430.59,Low,Consumer Goods,4,23127.15,448,9.88,Low,Credit Card,Real Estate,Medium-Term,Low,91,Medium
CUST1349,26,26149.39,5333.73,87948.28,High,"Consumer Goods, Finance, Real Estate",10,14155.93,502,2.94,High,Savings Account,Finance,Medium-Term,Moderate,90,Low
CUST7688,60,20185.32,6751.83,93189.38,High,"Consumer Goods, Energy",9,8576.95,303,8.88,Medium,Retirement Plan,Energy,Medium-Term,Low,84,Low
CUST6573,57,21903.95,2334.06,5504.32,Low,"Healthcare, Materials",4,14927.89,598,6.38,High,Credit Card,Materials,Medium-Term,Moderate,76,High
CUST6794,55,39622.42,5172.28,58797.13,Low,Technology,3,5705.29,550,0.17,High,Mortgage,Utilities,Medium-Term,Low,82,Medium
CUST4130,29,9085.24,6571.62,46454.36,Low,"Healthcare, Real Estate, Technology",2,29971.88,448,6.29,Medium,Personal Loan,Technology,Short-Term,Moderate,65,Low
CUST7613,43,43028.2,635.69,27204.4,High,Energy,8,21455.75,300,5.97,Medium,Pension Fund,Energy,Long-Term,Low,83,Low
CUST4741,66,47762.23,9808.67,29795.13,Medium,"Utilities, Real Estate, Healthcare",4,1443.65,424,9.82,Low,Pension Fund,Consumer Goods,Medium-Term,Moderate,57,Low
CUST6711,47,14266.6,6848.74,45379.34,High,"Materials, Healthcare",8,13326.14,476,6.03,High,Investment Account,Materials,Short-Term,High,57,Low
CUST3600,27,4099.93,2993.73,35691.52,Medium,Utilities,0,14611.12,786,4.66,High,Wealth Management,Real Estate,Medium-Term,Moderate,100,Low
CUST3807,43,2371.03,4787.04,92163.75,Medium,"Consumer Goods, Utilities",3,27136.35,507,8.55,Low,Credit Card,Utilities,Short-Term,High,78,Low
CUST3947,40,31066.37,1247.61,2369.85,High,"Finance, Real Estate",8,11152.7,623,3.97,High,Personal Loan,Industrials,Short-Term,Low,77,High
CUST4019,31,48628.65,7867.5,18087.98,High,"Energy, Finance",4,2605.28,559,3.54,Medium,Wealth Management,Healthcare,Long-Term,Low,88,Low
CUST8537,55,19385.07,4541.73,57334.17,Low,"Real Estate, Energy",1,14356.22,388,6.27,High,Wealth Management,Materials,Medium-Term,Moderate,74,High
CUST6962,61,43102.76,3992.65,81700.41,Medium,"Industrials, Healthcare",7,8315.95,810,7.77,Medium,Investment Account,Finance,Short-Term,Low,52,High
CUST8658,19,9579.52,5700.4,86973.26,Medium,"Materials, Industrials, Technology",9,28571.99,700,1.72,Medium,Savings Account,Materials,Medium-Term,Low,68,High
CUST8127,66,4334.67,7789.85,81844.31,Low,Utilities,1,11911.9,371,6.56,High,Wealth Management,Technology,Medium-Term,Low,96,High
CUST8716,68,36950.72,3947.64,48392.96,Low,"Industrials, Finance",2,28067.27,374,6.82,Low,Retirement Plan,Real Estate,Long-Term,High,67,Medium
CUST1251,22,32464.66,3631.56,47800.52,Low,"Technology, Industrials, Healthcare",0,27244.01,662,8.48,Low,Wealth Management,Industrials,Medium-Term,High,72,Low
CUST1393,25,31972.56,5654.19,90788.29,Medium,Finance,7,17710.04,469,8.46,High,Savings Account,Real Estate,Medium-Term,Moderate,75,Medium
CUST8338,41,22403.14,6302.69,71943.66,Low,"Healthcare, Materials, Utilities",3,20406.71,488,1.42,Low,Credit Card,Healthcare,Long-Term,Low,79,Low
CUST4441,52,8216.82,4761.79,23238.65,Low,"Industrials, Technology, Consumer Goods",10,12247.13,319,9.8,Medium,Retirement Plan,Materials,Long-Term,High,95,High
CUST1399,18,49749.75,4585.12,72070.07,Medium,"Healthcare, Materials",7,25858.26,581,2.2,High,Investment Account,Consumer Goods,Medium-Term,High,60,Medium
CUST4117,21,20101.75,5544.35,82348.46,High,"Utilities, Materials, Real Estate",7,9747.42,446,0.79,Low,Savings Account,Materials,Medium-Term,High,78,High
CUST2496,64,16727.29,4536.25,22775.96,High,"Consumer Goods, Healthcare, Materials",1,3482.45,831,0.89,High,Retirement Plan,Materials,Short-Term,High,88,Medium
CUST9645,25,40536.94,2603.06,2262.51,Low,"Healthcare, Energy, Industrials",4,12971.42,624,5.38,Medium,Retirement Plan,Industrials,Long-Term,Moderate,100,High
CUST9174,65,12051.73,3780.31,85703.07,High,"Consumer Goods, Materials",1,3210.08,380,6.8,Medium,Pension Fund,Technology,Short-Term,High,99,Low
CUST8554,38,32042.03,2347.32,72820.3,High,Finance,9,9253.63,478,7.48,Medium,Personal Loan,Real Estate,Short-Term,Moderate,83,High
CUST6153,18,19597.91,6588.37,33609.35,High,Materials,4,4849.03,703,3.64,Medium,Savings Account,Healthcare,Short-Term,High,78,Low
CUST8305,55,6991.76,1133.03,19627.39,High,Healthcare,5,23123.36,448,0.6,Medium,Mortgage,Consumer Goods,Short-Term,Moderate,55,Low
CUST5080,30,27261.12,9962.05,77986.44,Medium,"Real Estate, Utilities",7,3546.08,729,2.95,High,Pension Fund,Finance,Medium-Term,Moderate,52,Medium
CUST4218,49,44352.58,3553.09,64215.85,Low,Consumer Goods,4,16506.51,844,3.2,High,Personal Loan,Real Estate,Medium-Term,Low,85,High
CUST3090,32,43428.65,7931.68,39739.35,Medium,Technology,2,3832.99,699,9.21,High,Retirement Plan,Industrials,Medium-Term,Moderate,79,High
CUST7052,70,2667.95,7337.77,39775.2,Low,Healthcare,10,24155.19,569,4.83,High,Retirement Plan,Technology,Long-Term,Low,69,Low
CUST7543,43,28237.51,1613.3,37942.58,High,"Materials, Industrials",4,24162.6,840,8.0,Low,Savings Account,Real Estate,Short-Term,Low,90,Medium
CUST7700,37,21162.8,851.04,86387.21,Medium,"Healthcare, Real Estate",4,17893.98,500,0.04,Medium,Mortgage,Utilities,Long-Term,Moderate,96,Low
CUST4993,61,35482.36,1850.73,62324.08,Low,"Technology, Healthcare, Utilities",2,6570.95,708,1.27,High,Wealth Management,Energy,Short-Term,Moderate,70,High
CUST6229,20,43314.32,9266.31,96748.53,Medium,Healthcare,8,4757.73,492,0.44,High,Pension Fund,Materials,Medium-Term,Moderate,55,Low
CUST5405,46,4239.15,5308.28,54004.07,Low,"Real Estate, Industrials",8,20999.43,828,7.09,High,Credit Card,Healthcare,Medium-Term,Moderate,80,High
CUST8161,38,43101.29,4303.92,18827.72,Low,"Healthcare, Finance",7,25069.45,556,9.81,High,Investment Account,Materials,Short-Term,High,60,High
CUST9310,24,12106.21,4782.37,62683.38,High,Consumer Goods,7,15713.91,419,4.27,High,Pension Fund,Consumer Goods,Short-Term,Moderate,72,Low
CUST5145,18,30126.08,2399.27,66633.39,Low,Industrials,8,11496.34,750,3.21,Medium,Savings Account,Real Estate,Long-Term,High,84,Low
CUST7036,41,15989.28,7863.76,97853.21,High,"Real Estate, Healthcare",4,26132.08,395,2.1,Low,Personal Loan,Finance,Short-Term,Moderate,89,High
CUST1220,31,23135.82,4305.77,75533.38,Low,Materials,10,9716.83,532,2.55,Medium,Personal Loan,Finance,Long-Term,Low,51,Low
CUST2974,67,4154.49,6341.08,93445.58,Medium,"Finance, Healthcare",7,10742.4,361,8.33,Medium,Pension Fund,Finance,Medium-Term,Low,74,Low
CUST6234,49,32242.89,7724.98,99488.17,Low,"Real Estate, Utilities",10,24615.67,673,2.41,Low,Personal Loan,Utilities,Short-Term,High,54,Medium
CUST7579,30,5983.71,632.25,13794.05,Low,"Technology, Industrials, Real Estate",6,80.53,612,5.39,Low,Personal Loan,Technology,Short-Term,Moderate,87,Low
CUST8777,20,17420.06,9556.54,64596.15,High,"Industrials, Consumer Goods, Healthcare",1,28255.63,674,4.1,High,Retirement Plan,Industrials,Short-Term,Low,60,Low
CUST7685,18,28551.22,3368.8,4608.89,Medium,Real Estate,6,4918.61,494,9.76,High,Mortgage,Finance,Short-Term,High,83,High
CUST8975,46,32770.84,7230.37,48782.71,Medium,"Finance, Technology",7,19891.33,378,2.55,Low,Personal Loan,Healthcare,Medium-Term,Moderate,70,High
CUST2587,49,5020.45,9313.02,16531.13,Medium,"Utilities, Healthcare, Energy",4,27269.6,342,8.19,Medium,Pension Fund,Industrials,Short-Term,High,52,High
CUST8091,57,29877.48,4153.68,99974.75,Medium,Technology,1,8456.33,664,1.94,High,Retirement Plan,Real Estate,Short-Term,Moderate,77,Low
CUST9004,42,22511.31,9575.86,52806.49,High,"Real Estate, Materials, Energy",9,29554.98,698,2.41,High,Credit Card,Industrials,Medium-Term,Moderate,84,Medium
CUST9613,56,28632.01,1974.18,15655.21,Low,"Materials, Utilities, Technology",1,29011.28,595,4.43,Medium,Mortgage,Technology,Short-Term,Moderate,56,Medium
CUST1526,29,27195.46,6443.52,69154.42,High,"Real Estate, Materials",9,9219.01,824,4.13,Low,Wealth Management,Utilities,Medium-Term,High,80,Medium
CUST2377,56,44395.4,1439.28,90994.23,Low,"Finance, Real Estate, Industrials",5,4671.97,559,9.58,Low,Retirement Plan,Real Estate,Short-Term,High,58,Medium
CUST1122,53,30765.63,7950.83,95781.01,Low,Real Estate,7,26166.93,777,5.22,High,Retirement Plan,Finance,Long-Term,Moderate,67,High
CUST9367,48,4777.32,9677.18,63904.15,Low,Healthcare,0,21950.71,609,8.39,Medium,Savings Account,Technology,Medium-Term,High,61,Medium
CUST1691,44,22983.79,8611.46,21481.15,Low,"Healthcare, Consumer Goods, Energy",6,26441.47,446,9.32,Medium,Personal Loan,Healthcare,Short-Term,Moderate,60,Medium
CUST1738,19,49596.56,6177.87,81110.03,Medium,"Energy, Technology",10,24982.05,630,8.98,Medium,Mortgage,Consumer Goods,Medium-Term,Low,74,High
CUST1480,26,43743.67,6629.78,42882.38,Medium,Consumer Goods,4,10136.88,589,7.69,Low,Savings Account,Technology,Short-Term,Moderate,91,High
CUST6716,63,31588.15,4833.34,63891.36,Medium,"Real Estate, Materials",2,13522.58,836,3.72,High,Credit Card,Healthcare,Long-Term,High,100,Medium
CUST3405,59,38328.47,764.99,29765.48,Medium,"Real Estate, Industrials",6,15891.16,300,8.65,High,Personal Loan,Materials,Short-Term,High,70,Medium
CUST7124,36,32538.03,6784.24,49276.1,Medium,"Consumer Goods, Industrials, Real Estate",2,23285.85,833,9.38,High,Pension Fund,Materials,Medium-Term,Low,68,Low
CUST6838,58,28761.28,4033.05,18977.67,Medium,"Materials, Utilities",0,22041.39,539,1.55,Low,Investment Account,Consumer Goods,Long-Term,Moderate,94,High
CUST1453,55,25282.73,6905.08,84134.5,Low,"Technology, Consumer Goods, Materials",6,8508.81,570,1.04,Low,Mortgage,Technology,Long-Term,Moderate,79,Medium
